"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio","ZCTA5","MSA.code","MSA.name"
170,"Edmonds Heights K-12","Edmonds School District","B-",506,"52:1","98020","42644","Seattle-Bellevue-Everett,WA"
172,"International School of Communications","Marysville School District","B-",398,"24:1","98501","36500","Olympia-Tumwater,WA"
173,"Gov. John Rogers High School","Puyallup School District","B-",1759,"22:1","98501","36500","Olympia-Tumwater,WA"
174,"R.A. Long High School","Longview School District","B-",922,"23:1","98501","36500","Olympia-Tumwater,WA"
175,"Washington High School","Franklin Pierce School District","B-",967,"18:1","98444","45104","Tacoma-Lakewood,WA"
176,"Lakes High School","Clover Park School District","B-",1397,"19:1","98498","45104","Tacoma-Lakewood,WA"
177,"River HomeLink School","Battle Ground School District","B-",971,"25:1","98501","36500","Olympia-Tumwater,WA"
178,"Washington Virtual Academy","Monroe School District","B-",335,"25:1","98501","36500","Olympia-Tumwater,WA"
179,"Home Program","Renton School District","B-",111,"51:1","98055","42644","Seattle-Bellevue-Everett,WA"
180,"Homelink Alternative School","Lake Stevens School District","B-",151,"25:1","98501","36500","Olympia-Tumwater,WA"
181,"Emerald Ridge High School","Puyallup School District","B-",1585,"24:1","98374","45104","Tacoma-Lakewood,WA"
182,"Liberty High School","Liberty School District","B-",121,"12:1","99031","44060","Spokane-SpokaneValley,WA"
183,"Blaine High School","Blaine School District","B-",685,"20:1","98230","13380","Bellingham,WA"
184,"Mount Rainier High School","Highline School District","B-",1615,"22:1","98198","42644","Seattle-Bellevue-Everett,WA"
185,"Monroe High School","Monroe School District","B-",1663,"22:1","98272","42644","Seattle-Bellevue-Everett,WA"
186,"Enumclaw Senior High School","Enumclaw School District","B-",1396,"21:1","98501","36500","Olympia-Tumwater,WA"
187,"Eastmont Senior High School","Eastmont School District","B-",1402,"21:1","98501","36500","Olympia-Tumwater,WA"
188,"Oakesdale High School","Oakesdale School District","B-",37,"6:1","99158","39420","Pullman,WA"
189,"Mount Vernon High School","Mount Vernon School District","B-",1962,"20:1","98273","34580","MountVernon-Anacortes,WA"
190,"Technology Access Foundation Academy","Federal Way Public Schools","B-",293,"17:1","98501","36500","Olympia-Tumwater,WA"
191,"Cleveland High School STEM","Seattle Public Schools","B-",830,"18:1","98108","42644","Seattle-Bellevue-Everett,WA"
192,"Gates Secondary School","Franklin Pierce School District","B-",185,"11:1","98444","45104","Tacoma-Lakewood,WA"
193,"Lakeside High School","Nine Mile Falls School District","B-",555,"20:1","99026","44060","Spokane-SpokaneValley,WA"
194,"Health Sciences & Human Services High School","Highline School District","B-",370,"20:1","98501","36500","Olympia-Tumwater,WA"
195,"Toledo High School","Toledo School District","B-",257,"19:1","98591","16500","Centralia,WA"
196,"Auburn Senior High School","Auburn School District","B-",1554,"19:1","98002","42644","Seattle-Bellevue-Everett,WA"
197,"Sequim Senior High School","Sequim School District","B-",1025,"20:1","98501","36500","Olympia-Tumwater,WA"
199,"Napavine Junior/Senior High School","Napavine School District","B-",352,"17:1","98501","36500","Olympia-Tumwater,WA"
200,"Selah High School","Selah School District","B-",1029,"23:1","98942","49420","Yakima,WA"
201,"Rosalia School","Rosalia School District","B-",203,"10:1","98501","36500","Olympia-Tumwater,WA"
202,"Cheney High School","Cheney School District","B-",1246,"20:1","99004","44060","Spokane-SpokaneValley,WA"
203,"Lake Roosevelt Jr./Sr. High School","Grand Coulee Dam School District","B-",338,"15:1","98501","36500","Olympia-Tumwater,WA"
204,"Nooksack Valley High School","Nooksack Valley School District","B-",494,"20:1","98247","13380","Bellingham,WA"
205,"W.F. West High School","Chehalis School District","B-",972,"21:1","98501","36500","Olympia-Tumwater,WA"
206,"Prairie High School","Battle Ground School District","B-",1553,"22:1","98604","38900","Portland-Vancouver-Hillsboro,OR-WA"
207,"Federal Way High School","Federal Way Public Schools","B-",1634,"21:1","98501","36500","Olympia-Tumwater,WA"
208,"Mount Baker Senior High School","Mount Baker School District","B-",562,"18:1","98501","36500","Olympia-Tumwater,WA"
209,"Olympic High School","Central Kitsap School District","B-",1168,"21:1","98311","14740","Bremerton-Silverdale,WA"
210,"Internet Academy","Federal Way Public Schools","B-",275,"19:1","98501","36500","Olympia-Tumwater,WA"
211,"Lynden High School","Lynden School District","B-",847,"21:1","98264","13380","Bellingham,WA"
212,"Toutle Lake High School","Toutle Lake School District","B-",302,"18:1","98649","31020","Longview,WA"
213,"Ocosta Junior/Senior High School","Ocosta School District","B-",298,"15:1","98501","36500","Olympia-Tumwater,WA"
214,"Wishkah Valley School","Wishkah Valley School District","B-",148,"10:1","98501","36500","Olympia-Tumwater,WA"
216,"Pomeroy Junior/Senior High School","Pomeroy School District","B-",161,"13:1","98501","36500","Olympia-Tumwater,WA"
217,"Puyallup High School","Puyallup School District","B-",1664,"22:1","98371","45104","Tacoma-Lakewood,WA"
218,"Hela High School","Evergreen Public Schools","B-",439,"19:1","98501","36500","Olympia-Tumwater,WA"
219,"Lincoln High School","Tacoma School District","B-",1407,"19:1","98501","36500","Olympia-Tumwater,WA"
220,"Cascade High School","Cascade School District","B-",450,"18:1","98826","48300","Wenatchee,WA"
221,"Academy of Citizenship & Empowerment","Highline School District","B-",433,"23:1","98501","36500","Olympia-Tumwater,WA"
223,"Reardan Middle-Senior High School","Reardan-Edwall School District","B-",301,"18:1","99029","44060","Spokane-SpokaneValley,WA"
225,"River View High School","Finley School District","B-",311,"19:1","99337","28420","Kennewick-Richland,WA"
226,"Medical Lake High School","Medical Lake School District","B-",530,"20:1","99022","44060","Spokane-SpokaneValley,WA"
227,"North Mason Senior High School","North Mason School District","B-",745,"21:1","98528","43220","Shelton,WA"
228,"La Center High School","La Center School District","B-",555,"23:1","98629","38900","Portland-Vancouver-Hillsboro,OR-WA"
229,"Explorer Academy","South Kitsap School District","B-",202,"25:1","98366","14740","Bremerton-Silverdale,WA"
230,"Pe Ell School","Pe Ell School District","B-",259,"12:1","98572","16500","Centralia,WA"
231,"Port Angeles High School","Port Angeles School District","B-",1150,"18:1","98362","38820","PortAngeles,WA"
233,"Mossyrock Middle/High School","Mossyrock School District","B-",246,"16:1","98501","36500","Olympia-Tumwater,WA"
234,"Charles Francis Adams High School","Clarkston School District","B-",775,"19:1","99403","30300","Lewiston,ID-WA"
235,"Prosser High School","Prosser School District","B-",898,"21:1","99350","28420","Kennewick-Richland,WA"
236,"Rogers High School","Spokane School District","B-",1582,"17:1","99207","44060","Spokane-SpokaneValley,WA"
239,"Ephrata High School","Ephrata School District","B-",705,"22:1","98823","34180","MosesLake,WA"
240,"Todd Beamer High School","Federal Way Public Schools","C+",1779,"22:1","98501","36500","Olympia-Tumwater,WA"
242,"West Auburn Senior High School","Auburn School District","C+",261,"15:1","98001","42644","Seattle-Bellevue-Everett,WA"
243,"Yelm High School","Yelm School District","C+",1284,"22:1","98501","36500","Olympia-Tumwater,WA"
244,"On Track Academy","Spokane School District","C+",277,"13:1","99207","44060","Spokane-SpokaneValley,WA"
245,"River Ridge High School","North Thurston Public Schools","C+",1061,"18:1","98513","36500","Olympia-Tumwater,WA"
246,"Rainier Senior High School","Rainier School District","C+",272,"16:1","98576","36500","Olympia-Tumwater,WA"
248,"White River High School","White River School District","C+",1212,"21:1","98321","45104","Tacoma-Lakewood,WA"
249,"Forks High School","Quillayute Valley School District","C+",464,"20:1","98501","36500","Olympia-Tumwater,WA"
251,"Raymond Junior/Senior High School","Raymond School District","C+",264,"12:1","98501","36500","Olympia-Tumwater,WA"
252,"Shadle Park High School","Spokane School District","C+",1440,"19:1","99205","44060","Spokane-SpokaneValley,WA"
254,"Arts & Academics Academy","Highline School District","C+",294,"18:1","98146","42644","Seattle-Bellevue-Everett,WA"
255,"Morton Junior/Senior High School","Morton School District","C+",139,"15:1","98501","36500","Olympia-Tumwater,WA"
256,"Marysville Mountain View High School","Marysville School District","C+",228,"18:1","98271","42644","Seattle-Bellevue-Everett,WA"
257,"University High School","Central Valley School District","C+",1823,"21:1","99216","44060","Spokane-SpokaneValley,WA"
258,"Deer Park Home Link Program","Deer Park School District","C+",468,"52:1","99006","44060","Spokane-SpokaneValley,WA"
259,"Rivers Edge High School","Richland School District","C+",207,"15:1","99352","28420","Kennewick-Richland,WA"
260,"Bio Med Academy","Marysville School District","C+",404,"24:1","98270","42644","Seattle-Bellevue-Everett,WA"
261,"Renton Senior High School","Renton School District","C+",1342,"22:1","98055","42644","Seattle-Bellevue-Everett,WA"
262,"Spanaway Lake High School","Bethel School District","C+",1665,"22:1","98387","45104","Tacoma-Lakewood,WA"
264,"Sedro Woolley Senior High School","Sedro-Woolley School District","C+",1188,"20:1","98284","13380","Bellingham,WA"
264,"Sedro Woolley Senior High School","Sedro-Woolley School District","C+",1188,"20:1","98284","34580","MountVernon-Anacortes,WA"
265,"Stanwood High School","Stanwood-Camano School District","C+",1421,"22:1","98292","34580","MountVernon-Anacortes,WA"
265,"Stanwood High School","Stanwood-Camano School District","C+",1421,"22:1","98292","36020","OakHarbor,WA"
265,"Stanwood High School","Stanwood-Camano School District","C+",1421,"22:1","98292","42644","Seattle-Bellevue-Everett,WA"
266,"Big Picture School","Highline School District","C+",190,"12:1","98148","42644","Seattle-Bellevue-Everett,WA"
267,"Willapa Valley Junior/Senior High School","Willapa Valley School District","C+",165,"12:1","98501","36500","Olympia-Tumwater,WA"
268,"Montesano Junior/Senior High School","Montesano School District","C+",605,"19:1","98501","36500","Olympia-Tumwater,WA"
269,"East Valley High School","East Valley School District (Yakima)","C+",852,"18:1","98901","21260","Ellensburg,WA"
269,"East Valley High School","East Valley School District (Yakima)","C+",852,"18:1","98901","49420","Yakima,WA"
270,"East Valley High School & Extension","East Valley School District (Spokane)","C+",1042,"17:1","98501","36500","Olympia-Tumwater,WA"
271,"Jenkins Junior/Senior High School","Chewelah School District","C+",444,"17:1","98501","36500","Olympia-Tumwater,WA"
272,"Bremerton High School","Bremerton School District","C+",1238,"19:1","98337","14740","Bremerton-Silverdale,WA"
273,"Centralia High School","Centralia School District","C+",1088,"20:1","98531","16500","Centralia,WA"
273,"Centralia High School","Centralia School District","C+",1088,"20:1","98531","36500","Olympia-Tumwater,WA"
274,"White Pass Junior/Senior High School","White Pass School District","C+",226,"17:1","98501","36500","Olympia-Tumwater,WA"
275,"Evergreen High School","Evergreen Public Schools","C+",1808,"21:1","98501","36500","Olympia-Tumwater,WA"
277,"Ferndale High School","Ferndale School District","C+",1502,"23:1","98248","13380","Bellingham,WA"
278,"Riverpoint Academy","Mead School District","C+",126,"17:1","99218","44060","Spokane-SpokaneValley,WA"
279,"Mt. Tahoma High School","Tacoma School District","C+",1530,"22:1","98501","36500","Olympia-Tumwater,WA"
280,"Foster Senior High School","Tukwila School District","C+",924,"21:1","98168","42644","Seattle-Bellevue-Everett,WA"
281,"Rochester High School","Rochester School District","C+",649,"20:1","98579","16500","Centralia,WA"
