"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio"
NA,"Kelso High School","Kelso School District, WA","C+","1519","21:1"
NA,"Fort Vancouver High School","Vancouver School District, WA","C+","1499","20:1"
NA,"Highline High School","Highline School District, WA","C+","1311","20:1"
NA,"White Swan High School","Mount Adams School District, WA","C+","252","8:1"
NA,"Moses Lake High School","Moses Lake School District, WA","C+","2383","24:1"
NA,"Adna Middle/High School","Adna School District, WA","C+","366","18:1"
NA,"Waterville High School","Waterville School District, WA","C+","177","14:1"
NA,"Olympia Regional Learning Academy","Olympia School District, WA","C+","303","44:1"
NA,"Wapato High School","Wapato School District, WA","C+","796","18:1"
NA,"Global Connections High School","Highline School District, WA","C+","511","17:1"
NA,"Columbia High School","Columbia School District (Walla Walla), WA","C+","287","19:1"
NA,"Burlington Edison High School","Burlington-Edison School District, WA","C+","1127","20:1"
NA,"St. John & Endicott High School","St. John School District, WA","C+","76","13:1"
NA,"Columbia School","Columbia School District (Stevens), WA","C+","149","8:1"
NA,"Republic Senior High School","Republic School District, WA","C+","97","11:1"
NA,"Eisenhower High School","Yakima School District, WA","C+","2033","21:1"
NA,"Eatonville High School","Eatonville School District, WA","C+","652","20:1"
NA,"Selkirk High School","Selkirk School District, WA","C+","82","13:1"
NA,"Deer Park High School","Deer Park School District, WA","C+","622","17:1"
NA,"Washougal High School","Washougal School District, WA","C+","941","20:1"
NA,"Lyle High School","Lyle School District, WA","C+","79","16:1"
NA,"Kalama Junior/Senior High School","Kalama School District, WA","C+","503","20:1"
NA,"Royal High School","Royal School District, WA","C","451","19:1"
NA,"North Beach Senior High School","North Beach School District, WA","C","219","21:1"
NA,"Waitsburg High School","Waitsburg School District, WA","C","105","12:1"
NA,"Tenino High School","Tenino School District, WA","C","358","21:1"
NA,"Foss High School","Tacoma School District, WA","C","887","21:1"
NA,"Kiona-Benton City High School","Kiona-Benton City School District, WA","C","481","20:1"
NA,"Heritage High School","Evergreen Public Schools, WA","C","1928","21:1"
NA,"Battle Ground High School","Battle Ground School District, WA","C","2179","21:1"
NA,"Hudson's Bay High School","Vancouver School District, WA","C","1377","22:1"
NA,"Naselle-Grays River Valley Junior/Senior High School","Naselle-Grays River Valley School District, WA","C","153","30:1"
NA,"Lake Quinault High School","Lake Quinault School District, WA","C","94","10:1"
NA,"Granite Falls High School","Granite Falls School District, WA","C","609","21:1"
NA,"Okanogan High School","Okanogan School District, WA","C","271","18:1"
NA,"Hoquiam High School","Hoquiam School District, WA","C","490","21:1"
NA,"Clover Park High School","Clover Park School District, WA","C","1222","19:1"
NA,"Oroville Middle/High School","Oroville School District, WA","C","253","14:1"
NA,"School for the Entrepreneur","Marysville School District, WA","C","395","23:1"
NA,"Almira Coulee Hartline High School","Coulee-Hartline School District, WA","C","80","10:1"
NA,"Connell High School","North Franklin School District, WA","C","589","20:1"
NA,"Hayes Freedom High School","Camas School District, WA","C","136","18:1"
